iteration,category,movie,person_first,person_last,winner,movie_link,person_link
1st,Best Picture,Wings,Paramount,Famous Lasky,True,https://en.wikipedia.org/wiki/Wings_(1927_film),https://en.wikipedia.org/wiki/Paramount_Pictures
1st,Best Picture,The Racket,,,False,https://en.wikipedia.org/wiki/The_Racket_(1928_film),
1st,Best Picture,7th Heaven,Fox,,False,https://en.wikipedia.org/wiki/7th_Heaven_(1927_film),https://en.wikipedia.org/wiki/Fox_Film
1st,Best Unique and Artistic Picture,Sunrise,Fox,,True,https://en.wikipedia.org/wiki/Sunrise:_A_Song_of_Two_Humans,https://en.wikipedia.org/wiki/Fox_Film
1st,Best Unique and Artistic Picture,Chang,Paramount,Famous Lasky,False,https://en.wikipedia.org/wiki/Chang:_A_Drama_of_the_Wilderness,https://en.wikipedia.org/wiki/Paramount_Pictures
1st,Best Unique and Artistic Picture,The Crowd,Metro-Goldwyn-Mayer,,False,https://en.wikipedia.org/wiki/The_Crowd_(1928_film),https://en.wikipedia.org/wiki/Metro-Goldwyn-Mayer
1st,Best Directing (Comedy Picture),Two Arabian Knights,Lewis,Milestone,True,https://en.wikipedia.org/wiki/Two_Arabian_Knights,https://en.wikipedia.org/wiki/Lewis_Milestone
1st,Best Directing (Comedy Picture),The Circus,Charles,Chaplin,False,https://en.wikipedia.org/wiki/The_Circus_(1928_film),https://en.wikipedia.org/wiki/Charlie_Chaplin
1st,Best Directing (Comedy Picture),Speedy,Ted,Wilde,False,https://en.wikipedia.org/wiki/Speedy_(film),https://en.wikipedia.org/wiki/Ted_Wilde
1st,Best Directing (Dramatic Picture),7th Heaven,Frank,Borzage,True,https://en.wikipedia.org/wiki/7th_Heaven_(1927_film),https://en.wikipedia.org/wiki/Frank_Borzage
1st,Best Directing (Dramatic Picture),Sorrell and Son,Herbert,Brenon,False,https://en.wikipedia.org/wiki/Sorrell_and_Son_(1927_film),https://en.wikipedia.org/wiki/Herbert_Brenon
1st,Best Directing (Dramatic Picture),The Crowd,King,Vidor,False,https://en.wikipedia.org/wiki/The_Crowd_(1928_film),https://en.wikipedia.org/wiki/King_Vidor
1st,Best Actor,The Last Command,Emil,Jannings,True,https://en.wikipedia.org/wiki/The_Last_Command_(1928_film),https://en.wikipedia.org/wiki/Emil_Jannings
1st,Best Actor,The Noose,Richard,Barthelmess,False,https://en.wikipedia.org/wiki/The_Noose_(film),https://en.wikipedia.org/wiki/Richard_Barthelmess
1st,Best Actor,The Circus,Charles,Chaplin,False,https://en.wikipedia.org/wiki/The_Circus_(1928_film),https://en.wikipedia.org/wiki/Charlie_Chaplin
1st,Best Actress,7th Heaven,Janet,Gaynor,True,https://en.wikipedia.org/wiki/7th_Heaven_(1927_film),https://en.wikipedia.org/wiki/Janet_Gaynor
1st,Best Actress,A Ship Comes In,Louise,Dresser,False,https://en.wikipedia.org/wiki/A_Ship_Comes_In,https://en.wikipedia.org/wiki/Louise_Dresser
1st,Best Actress,Sadie Thompson,Gloria,Swanson,False,https://en.wikipedia.org/wiki/Sadie_Thompson_(film),https://en.wikipedia.org/wiki/Gloria_Swanson
1st,Best Writing (Original Story),Underworld,Ben,Hecht,True,https://en.wikipedia.org/wiki/Underworld_(1927_film),https://en.wikipedia.org/wiki/Ben_Hecht
1st,Best Writing (Original Story),The Circus,Charles,Chaplin,False,https://en.wikipedia.org/wiki/The_Circus_(1928_film),https://en.wikipedia.org/wiki/Charlie_Chaplin
1st,Best Writing (Original Story),The Last Command,Lajos,Biro,False,https://en.wikipedia.org/wiki/The_Last_Command_(1928_film),https://en.wikipedia.org/wiki/Lajos_B%C3%ADr%C3%B3
1st,Best Writing (Adaptation),7th Heaven,Benjamin,Glazer,True,https://en.wikipedia.org/wiki/7th_Heaven_(1927_film),https://en.wikipedia.org/wiki/Benjamin_Glazer
1st,Best Writing (Adaptation),Glorious Betsy,Anthony,Coldeway,False,https://en.wikipedia.org/wiki/Glorious_Betsy,https://en.wikipedia.org/wiki/Anthony_Coldeway
1st,Best Writing (Adaptation),The Jazz Singer,Alfred,Cohn,False,https://en.wikipedia.org/wiki/The_Jazz_Singer,https://en.wikipedia.org/wiki/Alfred_A._Cohn
1st,Best Production Design,The Dove,William,Cameron Menzies,True,https://en.wikipedia.org/wiki/The_Dove_(1927_film),https://en.wikipedia.org/wiki/William_Cameron_Menzies
1st,Best Production Design,Tempest,William,Cameron Menzies,True,https://en.wikipedia.org/wiki/Tempest_(1928_film),https://en.wikipedia.org/wiki/William_Cameron_Menzies
1st,Best Production Design,7th Heaven,Harry,Oliver,False,https://en.wikipedia.org/wiki/7th_Heaven_(1927_film),https://en.wikipedia.org/wiki/Harry_Oliver
1st,Best Production Design,Sunrise,Rochus,Gliese,False,https://en.wikipedia.org/wiki/Sunrise:_A_Song_of_Two_Humans,https://en.wikipedia.org/wiki/Rochus_Gliese
1st,Best Cinematography,Sunrise,Charles,Rosher,True,https://en.wikipedia.org/wiki/Sunrise:_A_Song_of_Two_Humans,https://en.wikipedia.org/wiki/Charles_Rosher
1st,Best Cinematography,The Devil Dancer,George,Barnes,False,https://en.wikipedia.org/wiki/The_Devil_Dancer,https://en.wikipedia.org/wiki/George_Barnes_(cinematographer)
1st,Best Cinematography,The Magic Flame,George,Barnes,False,https://en.wikipedia.org/wiki/The_Magic_Flame,https://en.wikipedia.org/wiki/George_Barnes_(cinematographer)
1st,Best Cinematography,Sadie Thompson,George,Barnes,False,https://en.wikipedia.org/wiki/Sadie_Thompson_(film),https://en.wikipedia.org/wiki/George_Barnes_(cinematographer)
1st,Best Engineering Effects,Wings,Roy,Pomeroy,True,https://en.wikipedia.org/wiki/Wings_(1927_film),https://en.wikipedia.org/wiki/Roy_Pomeroy
1st,Best Engineering Effects,,Ralph,Hammeras,False,,https://en.wikipedia.org/wiki/Ralph_Hammeras
1st,Best Engineering Effects,,Nugent,Slaughter,False,,https://en.wikipedia.org/wiki/Nugent_Slaughter
1st,Best Writing (Title Writing),–The Private Life of Helen of Troy,Joseph,Farnham,True,https://en.wikipedia.org/wiki/The_Private_Life_of_Helen_of_Troy,https://en.wikipedia.org/wiki/Joseph_W._Farnham
1st,Best Writing (Title Writing),–The Private Life of Helen of Troy,Gerald,Duffy,False,https://en.wikipedia.org/wiki/The_Private_Life_of_Helen_of_Troy,https://en.wikipedia.org/wiki/Gerald_Duffy
1st,Best Writing (Title Writing),,George,Marion Jr.,False,,https://en.wikipedia.org/wiki/George_Marion_Jr.
2nd,Best Picture,The Broadway Melody,Irving,Thalberg,True,https://en.wikipedia.org/wiki/The_Broadway_Melody,https://en.wikipedia.org/wiki/Irving_Thalberg
2nd,Best Picture,Alibi,Roland,West,False,https://en.wikipedia.org/wiki/Alibi_(1929_film),https://en.wikipedia.org/wiki/Roland_West
2nd,Best Picture,The Hollywood Revue of 1929,Harry,Rapf,False,https://en.wikipedia.org/wiki/The_Hollywood_Revue,https://en.wikipedia.org/wiki/Harry_Rapf
2nd,Best Picture,In Old Arizona,Winfield,Sheehan,False,https://en.wikipedia.org/wiki/In_Old_Arizona,https://en.wikipedia.org/wiki/Winfield_Sheehan
2nd,Best Picture,The Patriot,Ernst,Lubitsch,False,https://en.wikipedia.org/wiki/The_Patriot_(1928_film),https://en.wikipedia.org/wiki/Ernst_Lubitsch
2nd,Best Director,The Divine Lady,Frank,Lloyd,True,https://en.wikipedia.org/wiki/The_Divine_Lady,https://en.wikipedia.org/wiki/Frank_Lloyd
2nd,Best Director,The Broadway Melody,Harry,Beaumont,False,https://en.wikipedia.org/wiki/The_Broadway_Melody,https://en.wikipedia.org/wiki/Harry_Beaumont
2nd,Best Director,Drag,,,False,https://en.wikipedia.org/wiki/Drag_(film),
2nd,Best Director,In Old Arizona,Irving,Cummings,False,https://en.wikipedia.org/wiki/In_Old_Arizona,https://en.wikipedia.org/wiki/Irving_Cummings
2nd,Best Director,Madame X,Lionel,Barrymore,False,https://en.wikipedia.org/wiki/Madame_X_(1929_film),https://en.wikipedia.org/wiki/Lionel_Barrymore
2nd,Best Director,The Patriot,Ernst,Lubitsch,False,https://en.wikipedia.org/wiki/The_Patriot_(1928_film),https://en.wikipedia.org/wiki/Ernst_Lubitsch
2nd,Best Director,Weary River,,,False,https://en.wikipedia.org/wiki/Weary_River,
2nd,Best Actor,In Old Arizona,Warner,Baxter,True,https://en.wikipedia.org/wiki/In_Old_Arizona,https://en.wikipedia.org/wiki/Warner_Baxter
2nd,Best Actor,Thunderbolt,George,Bancroft,False,https://en.wikipedia.org/wiki/Thunderbolt_(1929_film),https://en.wikipedia.org/wiki/George_Bancroft_(actor)
2nd,Best Actor,Alibi,Chester,Morris,False,https://en.wikipedia.org/wiki/Alibi_(1929_film),https://en.wikipedia.org/wiki/Chester_Morris
2nd,Best Actor,The Valiant,Paul,Muni,False,https://en.wikipedia.org/wiki/The_Valiant_(1929_film),https://en.wikipedia.org/wiki/Paul_Muni
2nd,Best Actor,The Patriot,Lewis,Stone,False,https://en.wikipedia.org/wiki/The_Patriot_(1928_film),https://en.wikipedia.org/wiki/Lewis_Stone
2nd,Best Actress,Coquette,Mary,Pickford,True,https://en.wikipedia.org/wiki/Coquette_(film),https://en.wikipedia.org/wiki/Mary_Pickford
2nd,Best Actress,Madame X,Ruth,Chatterton,False,https://en.wikipedia.org/wiki/Madame_X_(1929_film),https://en.wikipedia.org/wiki/Ruth_Chatterton
2nd,Best Actress,The Barker,Betty,Compson,False,https://en.wikipedia.org/wiki/The_Barker,https://en.wikipedia.org/wiki/Betty_Compson
2nd,Best Actress,The Letter,Jeanne,Eagels,False,https://en.wikipedia.org/wiki/The_Letter_(1929_film),https://en.wikipedia.org/wiki/Jeanne_Eagels
2nd,Best Actress,The Divine Lady,Corinne,Griffith,False,https://en.wikipedia.org/wiki/The_Divine_Lady,https://en.wikipedia.org/wiki/Corinne_Griffith
2nd,Best Actress,The Broadway Melody,Bessie,Love,False,https://en.wikipedia.org/wiki/The_Broadway_Melody,https://en.wikipedia.org/wiki/Bessie_Love
2nd,Best Writing,The Patriot,Hanns,Kräly,True,https://en.wikipedia.org/wiki/The_Patriot_(1928_film),https://en.wikipedia.org/wiki/Hanns_Kr%C3%A4ly
2nd,Best Writing,The Cop,Elliot,Clawson,False,https://en.wikipedia.org/wiki/The_Cop_(1928_film),https://en.wikipedia.org/wiki/Elliott_J._Clawson
2nd,Best Writing,In Old Arizona,Tom,Barry,False,https://en.wikipedia.org/wiki/In_Old_Arizona,https://en.wikipedia.org/wiki/Tom_Barry_(screenwriter)
2nd,Best Writing,The Last of Mrs. Cheyney,the,play,False,https://en.wikipedia.org/wiki/The_Last_of_Mrs._Cheyney_(1929_film),https://en.wikipedia.org/wiki/The_Last_of_Mrs._Cheyney_(play)
2nd,Best Writing,The Leatherneck,,,False,https://en.wikipedia.org/wiki/The_Leatherneck,
2nd,Best Writing,Our Dancing Daughters,Josephine,Lovett,False,https://en.wikipedia.org/wiki/Our_Dancing_Daughters,https://en.wikipedia.org/wiki/Josephine_Lovett
2nd,Best Writing,Sal of Singapore,Dale,Collins,False,https://en.wikipedia.org/wiki/Sal_of_Singapore,https://en.wikipedia.org/wiki/Dale_Collins
2nd,Best Writing,Skyscraper,,,False,https://en.wikipedia.org/wiki/Skyscraper_(1928_film),
2nd,Best Writing,The Valiant,the,play,False,https://en.wikipedia.org/wiki/The_Valiant_(1929_film),https://en.wikipedia.org/wiki/The_Valiant_(play)
2nd,Best Writing,A Woman of Affairs,Bess,Meredyth,False,https://en.wikipedia.org/wiki/A_Woman_of_Affairs,https://en.wikipedia.org/wiki/Bess_Meredyth
2nd,Best Writing,Wonder of Women,Hermann,Sudermann,False,https://en.wikipedia.org/wiki/Wonder_of_Women,https://en.wikipedia.org/wiki/Hermann_Sudermann
2nd,Best Production Design,The Bridge of San Luis Rey,Cedric,Gibbons,True,https://en.wikipedia.org/wiki/The_Bridge_of_San_Luis_Rey_(1929_film),https://en.wikipedia.org/wiki/Cedric_Gibbons
2nd,Best Production Design,Alibi,William,Cameron Menzies,False,https://en.wikipedia.org/wiki/Alibi_(1929_film),https://en.wikipedia.org/wiki/William_Cameron_Menzies
2nd,Best Production Design,The Awakening,,,False,https://en.wikipedia.org/wiki/The_Awakening_(1928_film),
2nd,Best Production Design,Dynamite,Mitchell,Leisen,False,https://en.wikipedia.org/wiki/Dynamite_(1929_film),https://en.wikipedia.org/wiki/Mitchell_Leisen
2nd,Best Production Design,The Patriot,Hans,Dreier,False,https://en.wikipedia.org/wiki/The_Patriot_(1928_film),https://en.wikipedia.org/wiki/Hans_Dreier
2nd,Best Production Design,Street Angel,Harry,Oliver,False,https://en.wikipedia.org/wiki/Street_Angel_(1928_film),https://en.wikipedia.org/wiki/Harry_Oliver
2nd,Best Cinematography,White Shadows in the South Seas,Clyde,De Vinna,True,https://en.wikipedia.org/wiki/White_Shadows_in_the_South_Seas,https://en.wikipedia.org/wiki/Clyde_De_Vinna
2nd,Best Cinematography,Four Devils,Ernest,Palmer,False,https://en.wikipedia.org/wiki/4_Devils,https://en.wikipedia.org/wiki/Ernest_Palmer_(American_cinematographer)
2nd,Best Cinematography,The Divine Lady,John,F. Seitz,False,https://en.wikipedia.org/wiki/The_Divine_Lady,https://en.wikipedia.org/wiki/John_F._Seitz
2nd,Best Cinematography,In Old Arizona,Arthur,Edeson,False,https://en.wikipedia.org/wiki/In_Old_Arizona,https://en.wikipedia.org/wiki/Arthur_Edeson
2nd,Best Cinematography,Our Dancing Daughters,George,Barnes,False,https://en.wikipedia.org/wiki/Our_Dancing_Daughters,https://en.wikipedia.org/wiki/George_Barnes_(cinematographer)
2nd,Best Cinematography,Street Angel,,,False,https://en.wikipedia.org/wiki/Street_Angel_(1928_film),
3rd,Best Picture,All Quiet on the Western Front,Carl,Laemmle,True,https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film),https://en.wikipedia.org/wiki/Carl_Laemmle
3rd,Best Picture,The Big House,Irving,Thalberg,False,https://en.wikipedia.org/wiki/The_Big_House_(1930_film),https://en.wikipedia.org/wiki/Irving_Thalberg
3rd,Best Picture,Disraeli,Jack,L. Warner,False,https://en.wikipedia.org/wiki/Disraeli_(1929_film),https://en.wikipedia.org/wiki/Jack_L._Warner
3rd,Best Picture,The Divorcee,Robert,Z. Leonard,False,https://en.wikipedia.org/wiki/The_Divorcee,https://en.wikipedia.org/wiki/Robert_Z._Leonard
3rd,Best Picture,The Love Parade,Ernst,Lubitsch,False,https://en.wikipedia.org/wiki/The_Love_Parade,https://en.wikipedia.org/wiki/Ernst_Lubitsch
3rd,Best Directing,All Quiet on the Western Front,Lewis,Milestone,True,https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film),https://en.wikipedia.org/wiki/Lewis_Milestone
