title,releaseDate,productionCompany
Wings,1927-08-12,Paramount Famous Lasky Corporation
The Racket,1928-11-01,The Caddo Company
Sunrise: A Song of Two Humans,1927-11-04,Fox Film Corporation
Chang: A Drama of the Wilderness,1927-04-29,Famous Players–Lasky Corporation
Chang: A Drama of the Wilderness,1927-04-29,Paramount Famous Lasky Corporation
The Crowd,1928-02-28,Metro-Goldwyn-Mayer
Two Arabian Knights,1927-09-23,The Caddo Company
Speedy,1928-04-07,Harold Lloyd Corporation
The Crowd,1928-02-28,Metro-Goldwyn-Mayer
The Last Command,1928-01-22,Paramount Famous Lasky Corp.
The Last Command,1928-01-22,Paramount Famous Lasky Corp.
Glorious Betsy,1928-04-26,Warner Bros. Pictures
The Jazz Singer,1927-10-06,Warner Bros. Pictures
The Jazz Singer,1927-10-06,The Vitaphone Corporation
Tempest,1928-05-27,Feature Productions
Sunrise: A Song of Two Humans,1927-11-04,Fox Film Corporation
Sunrise: A Song of Two Humans,1927-11-04,Fox Film Corporation
The Devil Dancer,1927-11-19,Samuel Goldwyn Productions
The Magic Flame,1927-09-18,Samuel Goldwyn Productions
Wings,1927-08-12,Paramount Famous Lasky Corporation
The Divine Lady,1928-12-26,First National Pictures
Drag,1929-07-21,First National Pictures
Weary River,1929-02-10,First National Pictures
The Barker,1928-12-09,First National Pictures
The Letter,1929-03-17,Paramount Pictures
The Divine Lady,1928-12-26,First National Pictures
The Cop,1928-08-20,DeMille Pictures Corporation
The Last of Mrs. Cheyney,1929-07-26,Metro-Goldwyn-Mayer
Our Dancing Daughters,1928-09-01,Cosmopolitan Productions
Skyscraper,1928-04-08,DeMille Pictures Corporation
The Bridge of San Luis Rey,1929-03-30,Metro-Goldwyn-Mayer
The Awakening,1928-11-17,Samuel Goldwyn Productions
Dynamite,1929-12-13,Metro-Goldwyn-Mayer
White Shadows in the South Seas,1928-11-10,Cosmopolitan Productions
4 Devils,1928-10-03,William Fox Studio
The Divine Lady,1928-12-26,First National Pictures
Our Dancing Daughters,1928-09-01,Cosmopolitan Productions
All Quiet on the Western Front,1930-04-21,Universal Studios
The Big House,1930-06-24,A Cosmopolitan Production
Disraeli,1929-11-01,Warner Bros.
The Love Parade,1929-11-19,Paramount Famous Lasky Corp.
All Quiet on the Western Front,1930-04-21,Universal Studios
Hallelujah,1929-08-20,A King Vidor Production
The Love Parade,1929-11-19,Paramount Famous Lasky Corp.
Disraeli,1929-11-01,Warner Bros.
The Big House,1930-06-24,A Cosmopolitan Production
Bulldog Drummond,1929-05-02,Samuel Goldwyn Productions
The Rogue Song,1930-01-28,Metro-Goldwyn-Mayer
The Big House,1930-06-24,A Cosmopolitan Production
All Quiet on the Western Front,1930-04-21,Universal Studios
Disraeli,1929-11-01,Warner Bros.
The Big House,1930-06-24,A Cosmopolitan Production
The Case of Sergeant Grischa,1930-03-23,RKO Radio Pictures
The Love Parade,1929-11-19,Paramount Famous Lasky Corp.
Raffles,1930-07-24,Samuel Goldwyn Productions
Song of the Flame,1930-05-06,First National Pictures
King of Jazz,1930-04-19,Universal Pictures
Bulldog Drummond,1929-05-02,Samuel Goldwyn Productions
The Love Parade,1929-11-19,Paramount Famous Lasky Corp.
Sally,1929-12-23,First National Pictures
The Vagabond King,1930-02-17,Paramount Pictures
All Quiet on the Western Front,1930-04-21,Universal Studios
Hell's Angels,1930-05-27,The Caddo Company (de)
The Love Parade,1929-11-19,Paramount Famous Lasky Corp.
Cimarron,1931-01-26,RKO Radio Pictures
The Front Page,1931-04-04,The Caddo Company
Cimarron,1931-01-26,RKO Radio Pictures
A Free Soul,1931-06-02,Metro-Goldwyn-Mayer
The Front Page,1931-04-04,The Caddo Company
Morocco,1930-11-14,Paramount Pictures
A Free Soul,1931-06-02,Metro-Goldwyn-Mayer
Cimarron,1931-01-26,RKO Radio Pictures
The Front Page,1931-04-04,The Caddo Company
Morocco,1930-11-14,Paramount Pictures
Cimarron,1931-01-26,RKO Radio Pictures
Holiday,1930-07-03,Pathé Exchange
A Free Soul,1931-06-02,Metro-Goldwyn-Mayer
The Dawn Patrol,1930-07-10,First National Pictures
The Doorway to Hell,1930-10-18,"Warner Bros. Pictures, Inc."
Smart Money,1931-07-11,Warner Bros.
Cimarron,1931-01-26,RKO Radio Pictures
The Criminal Code,1931-01-03,Columbia Pictures
Holiday,1930-07-03,Pathé Exchange
Little Caesar,1931-01-09,First National Pictures
Cimarron,1931-01-26,RKO Radio Pictures
Morocco,1930-11-14,Paramount Pictures
Svengali,1931-05-01,Warner Brothers-First National
Whoopee,1930-09-30,Samuel Goldwyn Productions
Tabu: A Story of the South Seas,1931-03-18,Flaherty-Murnau Productions
Cimarron,1931-01-26,RKO Radio Pictures
Morocco,1930-11-14,Paramount Pictures
Svengali,1931-05-01,Warner Brothers-First National
Grand Hotel,1932-04-12,Metro-Goldwyn-Mayer
Arrowsmith,1931-12-07,Samuel Goldwyn Productions
Bad Girl,1931-08-14,Fox Film Corporation
Five Star Final,1931-09-26,First National Pictures
One Hour with You,1932-03-22,Paramount Pictures
Bad Girl,1931-08-14,Fox Film Corporation
Dr. Jekyll and Mr. Hyde,1931-12-24,Paramount Pictures
What Price Hollywood?,1932-06-02,RKO Pathé
Bad Girl,1931-08-14,Fox Film Corporation
Arrowsmith,1931-12-07,Samuel Goldwyn Productions
Dr. Jekyll and Mr. Hyde,1931-12-24,Paramount Pictures
Arrowsmith,1931-12-07,Samuel Goldwyn Productions
Arrowsmith,1931-12-07,Samuel Goldwyn Productions
Dr. Jekyll and Mr. Hyde,1931-12-24,Paramount Pictures
Flowers and Trees,1932-07-30,Walt Disney Productions
It's Got Me Again! (1932),1932-05-14,Harman-Ising Productions
Mickey's Orphans,1931-12-05,Walt Disney Productions
42nd Street,1933-03-09,Warner Bros.
A Farewell to Arms,1932-12-08,Paramount Pictures
I Am a Fugitive from a Chain Gang,1932-11-10,The Vitaphone Corporation
Lady for a Day,1933-09-13,Columbia Pictures
Little Women,1933-11-16,RKO Radio Pictures
The Private Life of Henry VIII,1933-08-17,London Film Productions
She Done Him Wrong,1933-01-27,Paramount Pictures
Lady for a Day,1933-09-13,Columbia Pictures
Little Women,1933-11-16,RKO Radio Pictures
The Private Life of Henry VIII,1933-08-17,London Film Productions
I Am a Fugitive from a Chain Gang,1932-11-10,The Vitaphone Corporation
Morning Glory,1933-08-18,RKO Radio Pictures
Lady for a Day,1933-09-13,Columbia Pictures
One Way Passage,1932-10-22,Warner Bros.
Rasputin and the Empress,1932-12-23,Metro-Goldwyn-Mayer
Little Women,1933-11-16,RKO Radio Pictures
Lady for a Day,1933-09-13,Columbia Pictures
A Farewell to Arms,1932-12-08,Paramount Pictures
When Ladies Meet,1933-06-23,Metro-Goldwyn-Mayer
A Farewell to Arms,1932-12-08,Paramount Pictures
The Sign of the Cross,1932-11-30,Paramount Pictures
Krakatoa,1933-04-23,Educational Pictures
Three Little Pigs,1933-05-25,Walt Disney Productions
Building a Building,1933-01-07,Walt Disney Productions
The Merry Old Soul,1933-11-27,Walter Lantz Productions
A Farewell to Arms,1932-12-08,Paramount Pictures
42nd Street,1933-03-09,Warner Bros.
Gold Diggers of 1933,1933-05-27,Warner Bros.
I Am a Fugitive from a Chain Gang,1932-11-10,The Vitaphone Corporation
Flirtation Walk,1934-12-01,Warner Bros.
The Gay Divorcee,1934-10-19,RKO Radio Pictures
Here Comes the Navy,1934-07-21,Warner Bros. Pictures
The House of Rothschild,1934-04-07,Twentieth Century Pictures
Imitation of Life,1934-11-26,Universal Pictures
The Thin Man,1934-05-25,Metro-Goldwyn-Mayer
The Thin Man,1934-05-25,Metro-Goldwyn-Mayer
The Affairs of Cellini,1934-08-24,Twentieth Century Pictures
The Thin Man,1934-05-25,Metro-Goldwyn-Mayer
Of Human Bondage,1934-06-28,RKO Radio Pictures
Manhattan Melodrama,1934-05-04,Metro-Goldwyn-Mayer
The Richest Girl in the World,1934-09-21,RKO Radio Pictures
The Thin Man,1934-05-25,Metro-Goldwyn-Mayer
La Cucaracha,1934-08-31,Pioneer Pictures
Bosom Friends,1934,Skibo Productions for Educational Films Corporation of America
The Tortoise and the Hare,1935-01-05,Walt Disney Productions
Holiday Land,1934-11-09,Screen Gems
Jolly Little Elves,1934-10-01,Walter Lantz Productions
The Gay Divorcee,1934-10-19,RKO Radio Pictures
The Gay Divorcee,1934-10-19,RKO Radio Pictures
Flying Down to Rio,1933-12-21,RKO Radio Pictures
She Loves Me Not,1934-08-31,Paramount Pictures
The Affairs of Cellini,1934-08-24,Twentieth Century Pictures
Flirtation Walk,1934-12-01,Warner Bros.
The Gay Divorcee,1934-10-19,RKO Radio Pictures
Imitation of Life,1934-11-26,Universal Pictures
The Merry Widow,1934-10-11,Metro-Goldwyn-Mayer
The Affairs of Cellini,1934-08-24,Twentieth Century Pictures
The Gay Divorcee,1934-10-19,RKO Radio Pictures
The Affairs of Cellini,1934-08-24,Twentieth Century Pictures
Operator 13,1934-06-08,Metro-Goldwyn-Mayer
Imitation of Life,1934-11-26,Universal Pictures
