person_link,person_first,person_last,person_birth_date,person_country_of_birth,death_date
https://en.wikipedia.org/wiki/Lewis_Milestone,Lewis,Milestone,1895-09-30,Russian Empire,
https://en.wikipedia.org/wiki/Charlie_Chaplin,Charlie,Chaplin,1889-04-16,England,1977-12-25
https://en.wikipedia.org/wiki/Frank_Borzage,Frank,Borzage,1894-04-23,United States,
https://en.wikipedia.org/wiki/Herbert_Brenon,Herbert,Brenon,1880-01-13,Ireland,1958-06-21
https://en.wikipedia.org/wiki/King_Vidor,King,Vidor,1894-02-08,United States,
https://en.wikipedia.org/wiki/Emil_Jannings,Emil,Jannings,1884-07-23,Switzerland,1950-01-02
https://en.wikipedia.org/wiki/Richard_Barthelmess,Richard,Barthelmess,1895-05-09,United States,
https://en.wikipedia.org/wiki/Janet_Gaynor,Janet,Gaynor,1906-10-06,United States,
https://en.wikipedia.org/wiki/Louise_Dresser,Louise,Dresser,1878-10-05,United States,
https://en.wikipedia.org/wiki/Gloria_Swanson,Gloria,Swanson,1899-03-27,United States,
https://en.wikipedia.org/wiki/Ben_Hecht,Ben,Hecht,1894-02-28,United States,
https://en.wikipedia.org/wiki/Lajos_B%C3%ADr%C3%B3,Lajos,Bíró,1880-08-22,),1948-09-09
https://en.wikipedia.org/wiki/Benjamin_Glazer,Benjamin,F. Glazer,,Ireland,
https://en.wikipedia.org/wiki/Anthony_Coldeway,Anthony,Coldeway,1887-08-01,United States,
https://en.wikipedia.org/wiki/William_Cameron_Menzies,William,Cameron Menzies,1896-07-29,United States,
https://en.wikipedia.org/wiki/Rochus_Gliese,Rochus,Gliese,1891-01-06,German Empire,1978-12-22
https://en.wikipedia.org/wiki/Charles_Rosher,Charles,Rosher,1885-11-17,England,1974-01-15
https://en.wikipedia.org/wiki/George_Barnes_(cinematographer),George,S. Barnes,1892-10-16,United States,
https://en.wikipedia.org/wiki/Roy_Pomeroy,Roy,Pomeroy,1892-04-10,India,
https://en.wikipedia.org/wiki/Ralph_Hammeras,Ralph,Hammeras,1894-03-24,Minnesota,
https://en.wikipedia.org/wiki/Nugent_Slaughter,Nugent,Slaughter,1888-03-17,United States,
https://en.wikipedia.org/wiki/Joseph_W._Farnham,Joseph,W. Farnham,1884-12-02,United States,
https://en.wikipedia.org/wiki/Gerald_Duffy,Gerald,Duffy,,,
https://en.wikipedia.org/wiki/George_Marion_Jr.,George,Marion Jr.,1899-08-30,United States,
https://en.wikipedia.org/wiki/Irving_Thalberg,Irving,Thalberg,1899-05-30,United States,
https://en.wikipedia.org/wiki/Roland_West,Roland,West,1885-02-20,United States,
https://en.wikipedia.org/wiki/Harry_Rapf,Harry,Rapf,1880-10-16,United States,1949-02-06
https://en.wikipedia.org/wiki/Winfield_Sheehan,Winfield,Sheehan,,,
https://en.wikipedia.org/wiki/Ernst_Lubitsch,Ernst,Lubitsch,1892-01-29,German Empire,
https://en.wikipedia.org/wiki/Frank_Lloyd,Frank,Lloyd,1886-02-02,Scotland,1960-08-10
https://en.wikipedia.org/wiki/Harry_Beaumont,Harry,Beaumont,1888-02-10,United States,
https://en.wikipedia.org/wiki/Irving_Cummings,Irving,Cummings,1888-10-09,United States,
https://en.wikipedia.org/wiki/Lionel_Barrymore,Lionel,Barrymore,1878-04-28,United States,
https://en.wikipedia.org/wiki/Warner_Baxter,Warner,Baxter,1889-03-29,United States,
https://en.wikipedia.org/wiki/George_Bancroft_(actor),George,Bancroft,1882-09-30,United States,
https://en.wikipedia.org/wiki/Chester_Morris,Chester,Morris,1901-02-16,New York City U.S.,
https://en.wikipedia.org/wiki/Paul_Muni,Paul,Muni,1895-09-22,),
https://en.wikipedia.org/wiki/Lewis_Stone,Lewis,Stone,1879-11-15,United States,
https://en.wikipedia.org/wiki/Mary_Pickford,Mary,Pickford,1892-04-08,Canada,
https://en.wikipedia.org/wiki/Ruth_Chatterton,Ruth,Chatterton,1892-12-24,United States,
https://en.wikipedia.org/wiki/Betty_Compson,Betty,Compson,1897-03-19,United States,
