title,releasedate,budget,boxOffice,runtime,movieLanguage
Wings,1927-08-12,$2 million,$3.8 million,111,Sound
The Racket,1928-11-01,,,84,Silent
7th Heaven,1927-05-06,$1.3 million,$2.5 million,110,Sound
Sunrise: A Song of Two Humans,1927-11-04,,"$818,000",95,Sound
Chang: A Drama of the Wilderness,1927-04-29,,,64,Silent
The Crowd,1928-02-28,,,98,Silent
Two Arabian Knights,1927-09-23,,,92,Silent
The Circus,1928-01-06,,$3.8 million,70,Silent
Speedy,1928-04-07,,,86,Sound
7th Heaven,1927-05-06,$1.3 million,$2.5 million,110,Sound
Sorrell and Son,1927-11-12,,,10,Silent
The Crowd,1928-02-28,,,98,Silent
The Last Command,1928-01-22,,,85,Silent
The Noose,1928-01-29,,,8,Silent
The Circus,1928-01-06,,$3.8 million,70,Silent
7th Heaven,1927-05-06,$1.3 million,$2.5 million,110,Sound
A Ship Comes In,1928-01-04,,,70,Silent
Sadie Thompson,1928-01-07,"US$650,000",$8 million,91,Silent
Underworld,1927-08-20,,,80,Silent
The Circus,1928-01-06,,$3.8 million,70,Silent
The Last Command,1928-01-22,,,85,Silent
7th Heaven,1927-05-06,$1.3 million,$2.5 million,110,Sound
Glorious Betsy,1928-04-26,"$198,000","$965,000",80,Sound
The Jazz Singer,1927-10-06,"$422,000",$2.6 million,89,English
The Dove,1927-12-31,,,90,Silent
Tempest,1928-05-27,$1.2 million,,111,Sound
7th Heaven,1927-05-06,$1.3 million,$2.5 million,110,Sound
Sunrise: A Song of Two Humans,1927-11-04,,"$818,000",95,Sound
Sunrise: A Song of Two Humans,1927-11-04,,"$818,000",95,Sound
The Devil Dancer,1927-11-19,,,73,Silent
The Magic Flame,1927-09-18,,,9,Silent
Sadie Thompson,1928-01-07,"US$650,000",$8 million,91,Silent
Wings,1927-08-12,$2 million,$3.8 million,111,Sound
The Private Life of Helen of Troy,1927-12-09,,,87,Silent
The Private Life of Helen of Troy,1927-12-09,,,87,Silent
The Broadway Melody,1929-02-01,"$379,000",$4.4 million,100,English
Alibi,1929-04-20,,,90,English
The Hollywood Revue of 1929,1929-06-20,"$426,000","$2,421,000",130,English
In Old Arizona,1928-12-25,,$1.3 million,95,English
The Patriot,1928-08-17,$1 million,,113,Sound
The Divine Lady,1928-12-26,,,99,Sound
The Broadway Melody,1929-02-01,"$379,000",$4.4 million,100,English
Drag,1929-07-21,,,85,English
In Old Arizona,1928-12-25,,$1.3 million,95,English
Madame X,1929-08-17,,,95,English
The Patriot,1928-08-17,$1 million,,113,Sound
Weary River,1929-02-10,,,86,Sound
In Old Arizona,1928-12-25,,$1.3 million,95,English
Thunderbolt,1929-06-20,,,91,English
Alibi,1929-04-20,,,90,English
The Valiant,1929-05-19,,,66,English
The Patriot,1928-08-17,$1 million,,113,Sound
Coquette,1929-04-05,,$1.5 million,76,English
Madame X,1929-08-17,,,95,English
The Barker,1928-12-09,,,87,English
The Letter,1929-03-17,,"$8,900,000",60,English
The Divine Lady,1928-12-26,,,99,Sound
The Broadway Melody,1929-02-01,"$379,000",$4.4 million,100,English
The Patriot,1928-08-17,$1 million,,113,Sound
The Cop,1928-08-20,,,77,Silent
In Old Arizona,1928-12-25,,$1.3 million,95,English
The Last of Mrs. Cheyney,1929-07-26,,,94,English
The Leatherneck,1929-02-24,,,65,Sound
