title,releaseDate,productionCompany
Wings,1927-08-12,Paramount Famous Lasky Corporation
The Racket,1928-11-01,The Caddo Company
Sunrise: A Song of Two Humans,1927-11-04,Fox Film Corporation
Chang: A Drama of the Wilderness,1927-04-29,Famous Players–Lasky Corporation
Chang: A Drama of the Wilderness,1927-04-29,Paramount Famous Lasky Corporation
The Crowd,1928-02-28,Metro-Goldwyn-Mayer
Two Arabian Knights,1927-09-23,The Caddo Company
Speedy,1928-04-07,Harold Lloyd Corporation
The Last Command,1928-01-22,Paramount Famous Lasky Corp.
Glorious Betsy,1928-04-26,Warner Bros. Pictures
The Jazz Singer,1927-10-06,Warner Bros. Pictures
The Jazz Singer,1927-10-06,The Vitaphone Corporation
Tempest,1928-05-27,Feature Productions
The Devil Dancer,1927-11-19,Samuel Goldwyn Productions
The Magic Flame,1927-09-18,Samuel Goldwyn Productions
The Divine Lady,1928-12-26,First National Pictures
Drag,1929-07-21,First National Pictures
Weary River,1929-02-10,First National Pictures
The Barker,1928-12-09,First National Pictures
The Letter,1929-03-17,Paramount Pictures
The Cop,1928-08-20,DeMille Pictures Corporation
The Last of Mrs. Cheyney,1929-07-26,Metro-Goldwyn-Mayer
Our Dancing Daughters,1928-09-01,Cosmopolitan Productions
Skyscraper,1928-04-08,DeMille Pictures Corporation
The Bridge of San Luis Rey,1929-03-30,Metro-Goldwyn-Mayer
The Awakening,1928-11-17,Samuel Goldwyn Productions
Dynamite,1929-12-13,Metro-Goldwyn-Mayer
White Shadows in the South Seas,1928-11-10,Cosmopolitan Productions
4 Devils,1928-10-03,William Fox Studio
All Quiet on the Western Front,1930-04-21,Universal Studios
The Big House,1930-06-24,A Cosmopolitan Production
Disraeli,1929-11-01,Warner Bros.
The Love Parade,1929-11-19,Paramount Famous Lasky Corp.
Hallelujah,1929-08-20,A King Vidor Production
Bulldog Drummond,1929-05-02,Samuel Goldwyn Productions
The Rogue Song,1930-01-28,Metro-Goldwyn-Mayer
The Case of Sergeant Grischa,1930-03-23,RKO Radio Pictures
Raffles,1930-07-24,Samuel Goldwyn Productions
Song of the Flame,1930-05-06,First National Pictures
King of Jazz,1930-04-19,Universal Pictures
Sally,1929-12-23,First National Pictures
The Vagabond King,1930-02-17,Paramount Pictures
Hell's Angels,1930-05-27,The Caddo Company (de)
Cimarron,1931-01-26,RKO Radio Pictures
The Front Page,1931-04-04,The Caddo Company
A Free Soul,1931-06-02,Metro-Goldwyn-Mayer
Morocco,1930-11-14,Paramount Pictures
Holiday,1930-07-03,Pathé Exchange
The Dawn Patrol,1930-07-10,First National Pictures
The Doorway to Hell,1930-10-18,"Warner Bros. Pictures, Inc."
Smart Money,1931-07-11,Warner Bros.
The Criminal Code,1931-01-03,Columbia Pictures
Little Caesar,1931-01-09,First National Pictures
Svengali,1931-05-01,Warner Brothers-First National
Whoopee,1930-09-30,Samuel Goldwyn Productions
Tabu: A Story of the South Seas,1931-03-18,Flaherty-Murnau Productions
Grand Hotel,1932-04-12,Metro-Goldwyn-Mayer
Arrowsmith,1931-12-07,Samuel Goldwyn Productions
Bad Girl,1931-08-14,Fox Film Corporation
Five Star Final,1931-09-26,First National Pictures
One Hour with You,1932-03-22,Paramount Pictures
Dr. Jekyll and Mr. Hyde,1931-12-24,Paramount Pictures
What Price Hollywood?,1932-06-02,RKO Pathé
Flowers and Trees,1932-07-30,Walt Disney Productions
It's Got Me Again! (1932),1932-05-14,Harman-Ising Productions
Mickey's Orphans,1931-12-05,Walt Disney Productions
42nd Street,1933-03-09,Warner Bros.
A Farewell to Arms,1932-12-08,Paramount Pictures
I Am a Fugitive from a Chain Gang,1932-11-10,The Vitaphone Corporation
Lady for a Day,1933-09-13,Columbia Pictures
Little Women,1933-11-16,RKO Radio Pictures
The Private Life of Henry VIII,1933-08-17,London Film Productions
She Done Him Wrong,1933-01-27,Paramount Pictures
Morning Glory,1933-08-18,RKO Radio Pictures
One Way Passage,1932-10-22,Warner Bros.
Rasputin and the Empress,1932-12-23,Metro-Goldwyn-Mayer
When Ladies Meet,1933-06-23,Metro-Goldwyn-Mayer
The Sign of the Cross,1932-11-30,Paramount Pictures
Krakatoa,1933-04-23,Educational Pictures
Three Little Pigs,1933-05-25,Walt Disney Productions
Building a Building,1933-01-07,Walt Disney Productions
The Merry Old Soul,1933-11-27,Walter Lantz Productions
Gold Diggers of 1933,1933-05-27,Warner Bros.
Flirtation Walk,1934-12-01,Warner Bros.
The Gay Divorcee,1934-10-19,RKO Radio Pictures
Here Comes the Navy,1934-07-21,Warner Bros. Pictures
The House of Rothschild,1934-04-07,Twentieth Century Pictures
Imitation of Life,1934-11-26,Universal Pictures
The Thin Man,1934-05-25,Metro-Goldwyn-Mayer
The Affairs of Cellini,1934-08-24,Twentieth Century Pictures
Of Human Bondage,1934-06-28,RKO Radio Pictures
Manhattan Melodrama,1934-05-04,Metro-Goldwyn-Mayer
The Richest Girl in the World,1934-09-21,RKO Radio Pictures
La Cucaracha,1934-08-31,Pioneer Pictures
Bosom Friends,1999-09-19,Skibo Productions for Educational Films Corporation of America
The Tortoise and the Hare,1935-01-05,Walt Disney Productions
Holiday Land,1934-11-09,Screen Gems
Jolly Little Elves,1934-10-01,Walter Lantz Productions
Flying Down to Rio,1933-12-21,RKO Radio Pictures
She Loves Me Not,1934-08-31,Paramount Pictures
The Merry Widow,1934-10-11,Metro-Goldwyn-Mayer
Operator 13,1934-06-08,Metro-Goldwyn-Mayer
Alice Adams,1935-08-15,RKO Radio Pictures
Broadway Melody of 1936,1935-09-20,Metro-Goldwyn-Mayer
Captain Blood,1935-12-28,Cosmopolitan Productions
David Copperfield,1935-01-18,Metro-Goldwyn-Mayer
The Informer,1935-05-09,RKO Radio Pictures
The Lives of a Bengal Lancer,1935-01-11,Paramount Pictures
A Midsummer Night's Dream,1935-10-30,Warner Bros. Pictures
Les Misérables,1935-04-20,Twentieth Century Pictures
Naughty Marietta,1935-03-08,Metro-Goldwyn-Mayer
Top Hat,1935-08-29,RKO Radio Pictures
Black Fury,1935-05-18,Warner Bros.
Escape Me Never,1935-04-01,British & Dominions
Private Worlds,1935-04-19,Paramount Pictures
Becky Sharp,1935-06-13,Pioneer Pictures
The Dark Angel,1935-09-08,Samuel Goldwyn Productions
The Scoundrel,1935-04-30,Paramount Pictures
The Gay Deception,1935-09-13,Fox Film Corporation
Wings over Everest,1999-09-19,Gaumont-British
Three Orphan Kittens,1935-10-26,Walt Disney Productions
Who Killed Cock Robin?,1935-06-26,Walt Disney Productions
Gold Diggers of 1935,1935-03-16,Warner Bros.
Roberta,1935-03-08,RKO Radio Pictures
Bride of Frankenstein,1935-04-19,Universal Pictures
Thanks a Million,1935-10-25,Twentieth Century Pictures
Barbary Coast,1935-10-13,Samuel Goldwyn Productions
Broadway Hostess,1935-12-07,First National Pictures
She,1935-07-12,RKO Radio Pictures
The Great Ziegfeld,1936-03-22,Metro-Goldwyn-Mayer
Anthony Adverse,1936-07-29,Warner Bros. Pictures
Dodsworth,1936-09-23,Samuel Goldwyn Productions
Libeled Lady,1936-10-09,Metro-Goldwyn-Mayer
Mr. Deeds Goes to Town,1936-04-12,Columbia Pictures Corp. of Calif. LTD.
Romeo and Juliet,1936-08-20,Metro-Goldwyn-Mayer
San Francisco,1936-06-26,Metro-Goldwyn-Mayer
A Tale of Two Cities,1935-12-27,Metro-Goldwyn-Mayer
Three Smart Girls,1936-12-20,Universal Pictures
My Man Godfrey,1936-09-06,Universal Pictures
Come and Get It,1936-11-06,Samuel Goldwyn Productions
These Three,1936-03-18,Samuel Goldwyn Productions
After the Thin Man,1936-12-25,Metro-Goldwyn-Mayer
The Country Cousin,1936-10-31,Walt Disney Productions
The Old Mill Pond,1936-03-07,Harman-Ising Productions
Popeye the Sailor Meets Sindbad the Sailor,1936-11-27,Fleischer Studios
The Charge of the Light Brigade,1936-10-20,Warner Bros. Pictures
The Garden of Allah,1936-11-19,Selznick International Pictures
Swing Time,1936-08-27,RKO Radio Pictures
Suzy,1936-07-20,Metro-Goldwyn-Mayer
Born to Dance,1936-11-27,Metro-Goldwyn-Mayer
The Trail of the Lonesome Pine,1936-03-13,Walter Wanger Productions
Pennies from Heaven,1936-11-25,Emanuel Cohen Productions
"Sing, Baby, Sing",1936-08-21,Twentieth Century Fox
General Spanky,1936-12-11,Hal Roach Studios
The Texas Rangers,1936-08-28,Paramount Pictures
That Girl from Paris,1936-12-31,RKO Radio Pictures
Lloyd's of London,1936-11-25,20th Century Fox
The Magnificent Brute,1936-10-11,Universal Pictures
Cain and Mabel,1936-09-26,Cosmopolitan Pictures
Dancing Pirate,1936-05-22,Pioneer Pictures
Gold Diggers of 1937,1936-12-26,Warner Bros.
The Last of the Mohicans,1936-09-04,Edward Small Productions
The Awful Truth,1937-10-21,Columbia Pictures
Captains Courageous,1937-05-11,Metro-Goldwyn-Mayer
Dead End,1937-08-27,Samuel Goldwyn Productions
The Good Earth,1937-01-29,Metro-Goldwyn-Mayer
In Old Chicago,1938-01-06,Darryl F. Zanuck Productions
