title,releaseDate,budget,boxOffice,runtime,movieLanguage
Wings,1927-08-12,2000000,3800000,111,Sound
The Racket,1928-11-01,,,84,Silent
7th Heaven,1927-05-06,1300000,2500000,110,Sound
Sunrise: A Song of Two Humans,1927-11-04,,818000,95,Sound
Chang: A Drama of the Wilderness,1927-04-29,,,64,Silent
The Crowd,1928-02-28,,,98,Silent
Two Arabian Knights,1927-09-23,,,92,Silent
The Circus,1928-01-06,,3800000,70,Silent
Speedy,1928-04-07,,,86,Sound
Sorrell and Son,1927-11-12,,,10,Silent
The Last Command,1928-01-22,,,85,Silent
The Noose,1928-01-29,,,8,Silent
A Ship Comes In,1928-01-04,,,70,Silent
Sadie Thompson,1928-01-07,650000,8000000,91,Silent
Underworld,1927-08-20,,,80,Silent
Glorious Betsy,1928-04-26,198000,965000,80,Sound
The Jazz Singer,1927-10-06,422000,2600000,89,English
The Dove,1927-12-31,,,90,Silent
Tempest,1928-05-27,1200000,,111,Sound
The Devil Dancer,1927-11-19,,,73,Silent
The Magic Flame,1927-09-18,,,9,Silent
The Private Life of Helen of Troy,1927-12-09,,,87,Silent
The Broadway Melody,1929-02-01,379000,4400000,100,English
Alibi,1929-04-20,,,90,English
The Hollywood Revue of 1929,1929-06-20,426000,2421000,130,English
In Old Arizona,1928-12-25,,1300000,95,English
The Patriot,1928-08-17,1000000,,113,Sound
The Divine Lady,1928-12-26,,,99,Sound
Drag,1929-07-21,,,85,English
Madame X,1929-08-17,,,95,English
Weary River,1929-02-10,,,86,Sound
Thunderbolt,1929-06-20,,,91,English
The Valiant,1929-05-19,,,66,English
Coquette,1929-04-05,,1500000,76,English
The Barker,1928-12-09,,,87,English
The Letter,1929-03-17,,8900000,60,English
The Cop,1928-08-20,,,77,Silent
The Last of Mrs. Cheyney,1929-07-26,,,94,English
The Leatherneck,1929-02-24,,,65,Sound
Our Dancing Daughters,1928-09-01,178000,1099000,85,Sound
Sal of Singapore,1928-11-04,,,70,Sound
Skyscraper,1928-04-08,,,68,Silent
A Woman of Affairs,1928-12-15,328687.77,1370000,91,Sound
Wonder of Women,1929-07-13,,,95,Sound
The Bridge of San Luis Rey,1929-03-30,,,86,Sound
The Awakening,1928-11-17,,,90,Sound
Dynamite,1929-12-13,,,129,English
Street Angel,1928-04-09,,1700000,102,Sound
White Shadows in the South Seas,1928-11-10,365000,1600000,89,Sound
4 Devils,1928-10-03,,,100,Sound
All Quiet on the Western Front,1930-04-21,1200000,3000000,152,English
The Big House,1930-06-24,414000,1715000,87,English
Disraeli,1929-11-01,318000,1498000,90,English
The Divorcee,1930-04-19,,,84,English
The Love Parade,1929-11-19,,,107,English
Anna Christie,1930-02-21,376000,1499000,89,English
Hallelujah,1929-08-20,,,109,English
Romance,1930-08-22,,,76,English
The Green Goddess,1930-02-13,,,73,English
The Big Pond,1930-05-03,,,78,"English,"
Bulldog Drummond,1929-05-02,,,90,English
The Rogue Song,1930-01-28,,1610000,103,English
The Devil's Holiday,1930-05-09,,,80,English
Sarah and Son,1930-03-14,,,86,English
Their Own Desire,1929-12-27,,,65,English
The Trespasser,1929-11-11,,,90,English
Street of Chance,1930-02-08,,,76,English
The Case of Sergeant Grischa,1930-03-23,467000,456000,82,English
Raffles,1930-07-24,,,72,English
Song of the Flame,1930-05-06,,,70,English
King of Jazz,1930-04-19,,,105,English
Sally,1929-12-23,647000,2198000,103,English
The Vagabond King,1930-02-17,1250000,,104,English
With Byrd at the South Pole,1930-06-19,,,82,Sound
Hell's Angels,1930-05-27,2800000,2500000,131,English
Cimarron,1931-01-26,1433000,1383000,124,English
East Lynne,1931-02-20,,,102,English
The Front Page,1931-04-04,,700000,101,English
Skippy,1931-04-05,,,85,English
Trader Horn,1931-02-03,1300000,4200000,122,English
A Free Soul,1931-06-02,529000,1400000,91,English
Morocco,1930-11-14,491299.36,,91,English
The Royal Family of Broadway,1930-12-22,,,82,English
Min and Bill,1930-11-29,,2000000,66,English
Holiday,1930-07-03,,,98,English
The Dawn Patrol,1930-07-10,729000,1624000,90,English
The Doorway to Hell,1930-10-18,240000,688000,78,English
Laughter,1930-09-25,,,85,English
The Public Enemy,1931-04-23,,557000,83,English
Smart Money,1931-07-11,,,81,English
The Criminal Code,1931-01-03,,,96,English
Little Caesar,1931-01-09,281000,752000,79,English
Just Imagine,1930-11-23,1100000,,109,English
Svengali,1931-05-01,,,81,nan
Whoopee,1930-09-30,1900000,2655000,101,English
Tabu: A Story of the South Seas,1931-03-18,150000,472000,84,Sound
The Right to Love,1930-12-27,,,79,English
Grand Hotel,1932-04-12,750000,2594000,112,English
Arrowsmith,1931-12-07,,1250000,108,English
Bad Girl,1931-08-14,100000,1100000,90,English
The Champ,1931-11-09,356000,1600000,87,English
Five Star Final,1931-09-26,310000,822000,89,English
One Hour with You,1932-03-22,,,80,English
Shanghai Express,1932-02-12,,1500000,80,English
The Smiling Lieutenant,1931-08-01,,,89,English
Dr. Jekyll and Mr. Hyde,1931-12-24,535000,1250000,96,English
The Guardsman,1931-11-07,374000,,89,English
